"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"538","BSU05310_ydeR",23.4876952878617,22.2734028268134,24.70198774891,1.10903519955976,0.149305155783136,0.855239712886565,1
"539","BSU05320_ydeS",36.1809002921597,35.2192469051533,37.1425536791662,1.05460953719972,0.0767089486808645,0.888232437205453,1
"540","BSU05329_ydzO",2.61729796946537,1.80914266493315,3.42545327399758,1.89341246569084,0.920988725562002,0.713551659163629,1
"541","BSU05330_aseR",6.03537921978515,7.51841608354039,4.55234235602991,0.605492208125601,-0.723819700402745,0.695157136651148,1
"542","BSU05340_ydfA",31.4647566253108,27.4735771650455,35.4559360855761,1.29054676326192,0.367982418769153,0.52055933864046,1
"543","BSU05350_ydfB",25.4331041016282,27.2463235084782,23.6198846947783,0.866901719324757,-0.2060596505519,0.840768891900442,1
"544","BSU05360_ydfC",16.9487409814867,12.3821532307243,21.5153287322491,1.73760801787385,0.797102665322217,0.407367389647989,1
"545","BSU05370_ydfD",61.1394930895795,61.792696031535,60.486290147624,0.978858247530674,-0.030828142506259,0.900827458134554,1
"546","BSU05380_ydfE",8.69912497568329,9.5548124050409,7.84343754632569,0.820888701298591,-0.284741464808022,0.773927842521654,1
"547","BSU05390_ydfF",608.145730817697,516.150304936747,700.141156698647,1.35646758318674,0.439854570557815,0.27965094738375,1
"548","BSU05400_ydfG",48.3423668955329,46.0195111275118,50.6652226635541,1.10095091021654,0.13875014268425,0.814616371046256,1
"549","BSU05408_ydzP",2.84566536334686,3.10918624949118,2.58214447720255,0.830488838558679,-0.267967315819818,1,1
"550","BSU05409_ydzQ",5.6980415606905,4.91832891442434,6.47775420695667,1.31706405156412,0.397325508560949,0.790708952400708,1
"551","BSU05410_ydfH",62.3853243516329,70.3293102758257,54.4413384274401,0.774091743739925,-0.369423533175428,0.305226993505687,1
"552","BSU05420_ydfI",19.6909707400498,20.1278229708321,19.2541185092676,0.956592202602806,-0.0640240632454673,0.880579884062595,1
"553","BSU05430_ydfJ",54.4009334570858,54.0470262914273,54.7548406227443,1.0130962678224,0.0187712703987788,1,1
"554","BSU05440_nap",25.9477672413543,23.9098836024196,27.9856508802889,1.17046370219288,0.227080195040868,0.629807874445137,1
"555","BSU05450_ydfK",14.6307161438563,19.1642165773222,10.0972157103903,0.526878605741639,-0.924457495584185,0.258013426215053,1
