"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"187"	595	326	140	67	23	8	3	1	0	0	0	0	0	0	0	0	0
"188"	566	356	156	48	25	8	4	0	0	0	0	0	0	0	0	0	0
"189"	571	350	151	60	21	6	2	1	0	0	1	0	0	0	0	0	0
"190"	591	334	145	46	33	9	4	1	0	0	0	0	0	0	0	0	0
"191"	594	324	153	57	21	6	5	3	0	0	0	0	0	0	0	0	0
"192"	610	318	139	64	20	8	3	1	0	0	0	0	0	0	0	0	0
"193"	617	313	142	51	24	12	3	1	0	0	0	0	0	0	0	0	0
"194"	623	288	153	57	28	9	4	1	0	0	0	0	0	0	0	0	0
"195"	589	328	150	59	27	7	2	0	1	0	0	0	0	0	0	0	0
"196"	584	349	152	54	13	7	2	1	0	0	1	0	0	0	0	0	0
"197"	593	326	154	55	24	8	2	1	0	0	0	0	0	0	0	0	0
"198"	595	325	145	53	32	7	2	2	2	0	0	0	0	0	0	0	0
"199"	573	360	138	54	18	15	3	1	1	0	0	0	0	0	0	0	0
"200"	635	298	140	52	28	4	5	0	0	1	0	0	0	0	0	0	0
"201"	576	375	121	55	21	8	2	2	2	0	1	0	0	0	0	0	0
"202"	610	319	139	58	26	6	2	1	2	0	0	0	0	0	0	0	0
"203"	623	329	140	42	18	9	1	1	0	0	0	0	0	0	0	0	0
"204"	570	357	148	50	21	6	6	3	2	0	0	0	0	0	0	0	0
"205"	600	326	154	51	23	4	4	0	1	0	0	0	0	0	0	0	0
"206"	610	337	134	52	17	5	5	3	0	0	0	0	0	0	0	0	0
"207"	620	312	130	58	31	8	2	2	0	0	0	0	0	0	0	0	0
"208"	575	350	157	52	17	9	3	0	0	0	0	0	0	0	0	0	0
"209"	582	355	143	47	21	9	1	3	1	1	0	0	0	0	0	0	0
"210"	595	310	162	57	19	14	2	0	4	0	0	0	0	0	0	0	0
"211"	579	322	177	59	16	6	3	0	1	0	0	0	0	0	0	0	0
"212"	579	340	152	62	19	9	1	1	0	0	0	0	0	0	0	0	0
"213"	598	315	156	63	19	8	3	1	0	0	0	0	0	0	0	0	0
"214"	594	309	166	64	20	6	2	0	1	1	0	0	0	0	0	0	0
"215"	601	325	142	53	26	11	4	1	0	0	0	0	0	0	0	0	0
"216"	576	345	148	63	19	8	2	2	0	0	0	0	0	0	0	0	0
"217"	578	355	140	51	24	8	6	0	1	0	0	0	0	0	0	0	0
"218"	614	324	143	53	14	8	6	0	1	0	0	0	0	0	0	0	0
"219"	609	310	152	62	19	5	1	2	1	1	1	0	0	0	0	0	0
"220"	591	339	153	50	15	8	3	2	1	0	0	0	1	0	0	0	0
"221"	597	344	129	57	24	7	3	2	0	0	0	0	0	0	0	0	0
"222"	608	343	120	58	19	6	7	2	0	0	0	0	0	0	0	0	0
"223"	598	327	147	57	24	7	2	1	0	0	0	0	0	0	0	0	0
"224"	611	330	133	52	23	7	4	2	1	0	0	0	0	0	0	0	0
"225"	588	334	140	68	20	10	2	1	0	0	0	0	0	0	0	0	0
"226"	591	336	149	45	21	16	2	1	2	0	0	0	0	0	0	0	0
"227"	588	348	141	50	22	7	2	3	1	1	0	0	0	0	0	0	0
"228"	635	308	123	59	25	8	4	0	1	0	0	0	0	0	0	0	0
"229"	611	347	115	57	18	6	6	3	0	0	0	0	0	0	0	0	0
"230"	585	372	124	51	20	4	6	0	0	0	0	0	0	1	0	0	0
"231"	587	340	154	42	22	12	2	2	2	0	0	0	0	0	0	0	0
"232"	587	336	151	48	28	13	0	0	0	0	0	0	0	0	0	0	0
"233"	565	354	135	71	26	9	3	0	0	0	0	0	0	0	0	0	0
"234"	600	342	149	43	20	6	2	0	1	0	0	0	0	0	0	0	0
"235"	580	352	136	57	21	14	3	0	0	0	0	0	0	0	0	0	0
"236"	607	323	153	51	16	8	3	2	0	0	0	0	0	0	0	0	0
"237"	601	332	147	53	17	6	2	1	0	2	1	0	1	0	0	0	0
"238"	594	334	144	54	26	5	4	0	1	0	1	0	0	0	0	0	0
"239"	594	356	126	50	20	12	3	0	0	1	1	0	0	0	0	0	0
"240"	611	335	130	55	17	11	3	1	0	0	0	0	0	0	0	0	0
"241"	601	342	132	56	19	6	6	0	1	0	0	0	0	0	0	0	0
"242"	594	337	139	65	22	4	1	0	1	0	0	0	0	0	0	0	0
"243"	577	351	148	53	18	11	3	1	1	0	0	0	0	0	0	0	0
"244"	594	359	126	51	24	6	3	0	0	0	0	0	0	0	0	0	0
"245"	620	321	135	61	17	6	2	1	0	0	0	0	0	0	0	0	0
"246"	589	325	142	64	31	8	1	3	0	0	0	0	0	0	0	0	0
"247"	573	356	150	54	17	10	2	1	0	0	0	0	0	0	0	0	0
"248"	608	309	156	55	25	6	3	1	0	0	0	0	0	0	0	0	0
"249"	591	343	141	59	19	7	1	1	1	0	0	0	0	0	0	0	0
"250"	592	334	152	55	18	7	3	2	0	0	0	0	0	0	0	0	0
"251"	593	317	166	48	30	5	3	1	0	0	0	0	0	0	0	0	0
"252"	615	343	125	49	20	7	3	1	0	0	0	0	0	0	0	0	0
"253"	605	315	158	51	29	5	0	0	0	0	0	0	0	0	0	0	0
"254"	561	374	142	55	19	9	2	1	0	0	0	0	0	0	0	0	0
"255"	595	338	137	54	29	9	1	0	0	0	0	0	0	0	0	0	0
"256"	587	343	148	55	20	7	2	1	0	0	0	0	0	0	0	0	0
"257"	616	301	151	56	26	10	2	0	0	0	1	0	0	0	0	0	0
"258"	617	349	117	45	20	11	2	1	0	0	1	0	0	0	0	0	0
"259"	635	308	145	55	9	8	2	1	0	0	0	0	0	0	0	0	0
"260"	603	336	143	50	19	9	1	1	0	0	1	0	0	0	0	0	0
"261"	584	333	140	68	20	12	2	2	0	2	0	0	0	0	0	0	0
"262"	584	350	137	55	23	9	4	1	0	0	0	0	0	0	0	0	0
"263"	558	363	137	68	21	9	5	1	1	0	0	0	0	0	0	0	0
"264"	574	364	131	62	21	4	2	4	0	1	0	0	0	0	0	0	0
"265"	616	324	143	47	23	6	3	1	0	0	0	0	0	0	0	0	0
"266"	593	355	127	50	29	5	3	1	0	0	0	0	0	0	0	0	0
"267"	627	316	134	59	19	6	1	1	0	0	0	0	0	0	0	0	0
"268"	602	328	126	62	27	14	2	1	0	1	0	0	0	0	0	0	0
"269"	581	350	137	56	24	11	3	1	0	0	0	0	0	0	0	0	0
"270"	611	320	139	64	18	5	3	3	0	0	0	0	0	0	0	0	0
"271"	598	332	139	67	14	5	7	0	0	1	0	0	0	0	0	0	0
"272"	598	329	147	46	30	8	4	1	0	0	0	0	0	0	0	0	0
"273"	592	341	131	62	19	15	2	1	0	0	0	0	0	0	0	0	0
"274"	580	353	136	62	16	9	4	2	1	0	0	0	0	0	0	0	0
"275"	608	338	126	58	16	10	7	0	0	0	0	0	0	0	0	0	0
"276"	596	340	147	54	23	1	2	0	0	0	0	0	0	0	0	0	0
"277"	618	312	147	60	13	5	5	2	1	0	0	0	0	0	0	0	0
"278"	582	359	129	66	15	8	3	0	1	0	0	0	0	0	0	0	0
"279"	562	358	145	64	20	9	4	0	1	0	0	0	0	0	0	0	0
"280"	606	323	135	68	21	4	4	1	1	0	0	0	0	0	0	0	0
"281"	599	327	148	61	13	11	1	2	1	0	0	0	0	0	0	0	0
"282"	622	314	128	60	32	5	2	0	0	0	0	0	0	0	0	0	0
"283"	592	338	143	65	19	5	1	0	0	0	0	0	0	0	0	0	0
"284"	606	318	147	58	20	6	5	2	1	0	0	0	0	0	0	0	0
"285"	597	333	146	50	28	6	3	0	0	0	0	0	0	0	0	0	0
"286"	583	347	132	54	30	11	4	2	0	0	0	0	0	0	0	0	0
"287"	568	345	160	58	23	7	1	1	0	0	0	0	0	0	0	0	0
"288"	576	348	159	50	20	6	2	0	2	0	0	0	0	0	0	0	0
"289"	608	312	144	58	29	9	1	2	0	0	0	0	0	0	0	0	0
"290"	566	363	137	68	17	6	4	1	0	1	0	0	0	0	0	0	0
"291"	615	333	131	50	15	9	6	3	1	0	0	0	0	0	0	0	0
"292"	602	344	141	54	14	5	2	0	1	0	0	0	0	0	0	0	0
"293"	600	325	159	51	13	10	4	1	0	0	0	0	0	0	0	0	0
"294"	574	372	140	47	16	5	9	0	0	0	0	0	0	0	0	0	0
"295"	590	331	143	64	21	13	1	0	0	0	0	0	0	0	0	0	0
"296"	608	318	143	58	21	12	3	0	0	0	0	0	0	0	0	0	0
"297"	597	325	153	56	13	13	3	0	1	1	1	0	0	0	0	0	0
"298"	583	350	141	53	24	10	1	0	1	0	0	0	0	0	0	0	0
"299"	593	345	133	62	21	7	1	1	0	0	0	0	0	0	0	0	0
"300"	590	345	140	57	18	5	3	3	1	1	0	0	0	0	0	0	0
"301"	597	335	147	52	20	7	5	0	0	0	0	0	0	0	0	0	0
"302"	610	328	136	49	26	9	4	1	0	0	0	0	0	0	0	0	0
"303"	591	349	138	56	22	3	4	0	0	0	0	0	0	0	0	0	0
"304"	596	329	146	53	24	10	2	3	0	0	0	0	0	0	0	0	0
"305"	598	331	147	53	23	7	2	2	0	0	0	0	0	0	0	0	0
"306"	594	325	161	62	12	6	3	0	0	0	0	0	0	0	0	0	0
"307"	604	337	136	63	15	6	1	0	1	0	0	0	0	0	0	0	0
"308"	594	324	152	59	19	12	3	0	0	0	0	0	0	0	0	0	0
"309"	595	350	137	52	23	4	2	0	0	0	0	0	0	0	0	0	0
"310"	602	321	149	62	19	8	2	0	0	0	0	0	0	0	0	0	0
"311"	599	319	155	61	18	7	3	1	0	0	0	0	0	0	0	0	0
"312"	583	339	158	56	14	11	1	1	0	0	0	0	0	0	0	0	0
"313"	591	319	163	52	22	12	3	1	0	0	0	0	0	0	0	0	0
"314"	568	346	150	66	21	8	3	0	1	0	0	0	0	0	0	0	0
"315"	599	339	126	70	16	8	5	0	0	0	0	0	0	0	0	0	0
"316"	617	326	146	43	22	9	0	0	0	0	0	0	0	0	0	0	0
"317"	610	315	135	65	23	5	5	3	1	1	0	0	0	0	0	0	0
"318"	578	321	147	76	23	7	8	3	0	0	0	0	0	0	0	0	0
"319"	583	330	167	52	23	6	1	1	0	0	0	0	0	0	0	0	0
"320"	586	353	148	43	23	6	4	0	0	0	0	0	0	0	0	0	0
"321"	592	353	143	48	17	6	2	0	2	0	0	0	0	0	0	0	0
"322"	606	304	142	68	30	11	1	1	0	0	0	0	0	0	0	0	0
"323"	593	333	148	57	23	5	3	1	0	0	0	0	0	0	0	0	0
"324"	589	353	135	47	22	8	8	1	0	0	0	0	0	0	0	0	0
"325"	605	332	144	43	26	8	3	2	0	0	0	0	0	0	0	0	0
"326"	590	327	149	65	22	6	4	0	0	0	0	0	0	0	0	0	0
"327"	599	300	171	66	16	6	3	2	0	0	0	0	0	0	0	0	0
"328"	599	331	144	47	30	8	2	1	0	0	0	0	0	0	0	1	0
"329"	599	331	126	72	20	8	5	1	1	0	0	0	0	0	0	0	0
"330"	590	328	144	70	20	7	3	1	0	0	0	0	0	0	0	0	0
"331"	592	335	143	55	25	8	3	2	0	0	0	0	0	0	0	0	0
"332"	598	321	150	55	26	8	1	2	2	0	0	0	0	0	0	0	0
"333"	582	356	134	68	14	8	1	0	0	0	0	0	0	0	0	0	0
"334"	602	319	149	59	22	10	2	0	0	0	0	0	0	0	0	0	0
"335"	610	331	140	48	23	5	4	1	0	1	0	0	0	0	0	0	0
"336"	585	353	146	50	15	7	4	2	1	0	0	0	0	0	0	0	0
"337"	589	332	145	69	17	4	4	0	2	1	0	0	0	0	0	0	0
